  W |                Eg |    F_virt*Delta_W |    F_Brem*Delta_W |  tot_Flux*Delta_W |            Tot_Lumin
$3.775$ |           $7.125$ |       $1.778e-04$ |       $8.108e-05$ |       $2.589e-04$ |         $2.589e+31$
$3.795$ |           $7.205$ |       $1.755e-04$ |       $8.058e-05$ |       $2.561e-04$ |         $2.561e+31$
$3.815$ |           $7.286$ |       $1.732e-04$ |       $8.009e-05$ |       $2.533e-04$ |         $2.533e+31$
$3.835$ |           $7.368$ |       $1.709e-04$ |       $7.962e-05$ |       $2.505e-04$ |         $2.505e+31$
$3.855$ |           $7.450$ |       $1.687e-04$ |       $7.916e-05$ |       $2.479e-04$ |         $2.479e+31$
$3.875$ |           $7.532$ |       $1.665e-04$ |       $7.872e-05$ |       $2.452e-04$ |         $2.452e+31$
$3.895$ |           $7.615$ |       $1.644e-04$ |       $7.829e-05$ |       $2.426e-04$ |         $2.426e+31$
$3.915$ |           $7.698$ |       $1.622e-04$ |       $7.788e-05$ |       $2.401e-04$ |         $2.401e+31$
$3.935$ |           $7.782$ |       $1.602e-04$ |       $7.749e-05$ |       $2.377e-04$ |         $2.377e+31$
$3.955$ |           $7.866$ |       $1.581e-04$ |       $7.711e-05$ |       $2.352e-04$ |         $2.352e+31$
$3.975$ |           $7.951$ |       $1.561e-04$ |       $7.675e-05$ |       $2.329e-04$ |         $2.329e+31$
$3.995$ |           $8.036$ |       $1.542e-04$ |       $7.640e-05$ |       $2.305e-04$ |         $2.305e+31$
$4.015$ |           $8.121$ |       $1.522e-04$ |       $7.606e-05$ |       $2.283e-04$ |         $2.283e+31$
$4.035$ |           $8.207$ |       $1.503e-04$ |       $7.574e-05$ |       $2.260e-04$ |         $2.260e+31$
$4.055$ |           $8.293$ |       $1.484e-04$ |       $7.543e-05$ |       $2.239e-04$ |         $2.239e+31$
$4.075$ |           $8.380$ |       $1.466e-04$ |       $7.514e-05$ |       $2.217e-04$ |         $2.217e+31$
$4.095$ |           $8.467$ |       $1.447e-04$ |       $7.486e-05$ |       $2.196e-04$ |         $2.196e+31$
$4.115$ |           $8.554$ |       $1.429e-04$ |       $7.460e-05$ |       $2.176e-04$ |         $2.176e+31$
$4.135$ |           $8.642$ |       $1.412e-04$ |       $7.435e-05$ |       $2.155e-04$ |         $2.155e+31$
$4.155$ |           $8.730$ |       $1.394e-04$ |       $7.412e-05$ |       $2.135e-04$ |         $2.135e+31$
$4.175$ |           $8.819$ |       $1.377e-04$ |       $7.390e-05$ |       $2.116e-04$ |         $2.116e+31$
$4.195$ |           $8.908$ |       $1.360e-04$ |       $7.369e-05$ |       $2.097e-04$ |         $2.097e+31$
$4.215$ |           $8.998$ |       $1.343e-04$ |       $7.350e-05$ |       $2.078e-04$ |         $2.078e+31$
$4.235$ |           $9.088$ |       $1.326e-04$ |       $7.332e-05$ |       $2.059e-04$ |         $2.059e+31$
$4.255$ |           $9.179$ |       $1.309e-04$ |       $7.315e-05$ |       $2.041e-04$ |         $2.041e+31$
$4.275$ |           $9.270$ |       $1.293e-04$ |       $7.300e-05$ |       $2.023e-04$ |         $2.023e+31$
$4.295$ |           $9.361$ |       $1.276e-04$ |       $7.286e-05$ |       $2.005e-04$ |         $2.005e+31$
$4.315$ |           $9.453$ |       $1.259e-04$ |       $7.274e-05$ |       $1.987e-04$ |         $1.987e+31$
$4.335$ |           $9.545$ |       $1.243e-04$ |       $7.263e-05$ |       $1.969e-04$ |         $1.969e+31$
$4.355$ |           $9.637$ |       $1.226e-04$ |       $7.253e-05$ |       $1.951e-04$ |         $1.951e+31$
$4.375$ |           $9.730$ |       $1.209e-04$ |       $7.245e-05$ |       $1.934e-04$ |         $1.934e+31$
$4.395$ |           $9.824$ |       $1.192e-04$ |       $7.238e-05$ |       $1.916e-04$ |         $1.916e+31$
$4.415$ |           $9.918$ |       $1.175e-04$ |       $7.232e-05$ |       $1.898e-04$ |         $1.898e+31$
$4.435$ |          $10.012$ |       $1.157e-04$ |       $7.228e-05$ |       $1.879e-04$ |         $1.879e+31$
$4.455$ |          $10.107$ |       $1.138e-04$ |       $7.225e-05$ |       $1.860e-04$ |         $1.860e+31$
$4.475$ |          $10.202$ |       $1.118e-04$ |       $7.223e-05$ |       $1.841e-04$ |         $1.841e+31$
$4.495$ |          $10.298$ |       $1.098e-04$ |       $7.222e-05$ |       $1.820e-04$ |         $1.820e+31$
$4.515$ |          $10.394$ |       $1.075e-04$ |       $7.223e-05$ |       $1.797e-04$ |         $1.797e+31$
$4.535$ |          $10.490$ |       $1.050e-04$ |       $7.225e-05$ |       $1.773e-04$ |         $1.773e+31$
$4.555$ |          $10.587$ |       $1.022e-04$ |       $7.229e-05$ |       $1.745e-04$ |         $1.745e+31$
$4.575$ |          $10.684$ |       $9.879e-05$ |       $7.234e-05$ |       $1.711e-04$ |         $1.711e+31$
$4.595$ |          $10.782$ |       $9.436e-05$ |       $7.240e-05$ |       $1.668e-04$ |         $1.668e+31$
$4.615$ |          $10.880$ |       $8.760e-05$ |       $7.247e-05$ |       $1.601e-04$ |         $1.601e+31$
$4.635$ |          $10.979$ |       $6.908e-05$ |       $7.256e-05$ |       $1.416e-04$ |         $1.416e+31$
